Designator,Mid X,Mid Y,Rotation,Layer
SW1,98.4,-57.6,180.0,top
J15,116.525,-89.0,-90.0,top
J11,93.4,-53.8,90.0,top
C2,147.825,-76.4,0.0,top
R16,118.0,-65.375,-90.0,top
R12,89.775,-71.2,180.0,top
C8,104.651992,-80.251992,-45.0,top
R5,155.8,-79.0,90.0,top
J10,124.0,-58.8,-90.0,top
C9,106.051992,-76.948008,45.0,top
R4,144.0,-80.2,0.0,top
J7,107.0,-89.4,-90.0,top
U2,148.0,-79.1,0.0,top
U5,116.0,-70.2,0.0,top
J8,102.4,-89.4,-90.0,top
C21,118.0,-74.0,-90.0,top
R15,116.2,-65.375,-90.0,top
C1,148.6,-58.8,90.0,top
J9,124.0,-82.0,0.0,top
C19,112.8,-69.975,-90.0,top
U1,146.5,-62.5,0.0,top
R9,97.375,-86.4,0.0,top
L1,147.675,-72.0,180.0,top
C4,142.0,-73.6,0.0,top
R1,146.0,-59.6,180.0,top
C22,142.025,-71.4,0.0,top
J13,100.875,-53.775,90.0,top
C10,108.8,-80.6,45.0,top
R13,93.225,-71.2,180.0,top
J16,112.6,-54.0,90.0,top
R3,144.025,-78.4,180.0,top
C20,119.2,-69.575,90.0,top
J5,91.6,-75.4,180.0,top
R14,114.4,-65.375,-90.0,top
J4,97.418718,-63.725825,135.0,top
J14,123.6,-72.6,0.0,top
J2,128.095,-51.095,0.0,top
R2,152.5,-62.5,-90.0,top
J6,86.0,-51.0,0.0,top
J12,123.8,-67.4,180.0,top
C3,152.4,-79.475,90.0,top
R6,101.816637,-61.583363,45.0,bottom
Y1,116.6,-82.6,135.0,bottom
C5,118.451992,-80.651992,135.0,bottom
C15,112.051992,-84.851992,-45.0,bottom
U3,102.8,-66.8,-135.0,bottom
C6,118.851992,-84.748008,-135.0,bottom
C13,97.072721,-81.011163,-135.0,bottom
U4,106.901561,-79.298439,-135.0,bottom
R8,114.583363,-84.183363,135.0,bottom
C17,106.4,-71.575,90.0,bottom
C18,112.948008,-74.651992,45.0,bottom
R10,97.25,-77.0,180.0,bottom
C12,98.204092,-82.142534,-135.0,bottom
C16,103.451992,-85.148008,-135.0,bottom
C11,100.825,-75.2,180.0,bottom
C7,98.051992,-65.948008,45.0,bottom
R7,100.383363,-60.216637,45.0,bottom
C14,99.335462,-83.273904,-135.0,bottom
R11,97.225,-78.6,180.0,bottom
